symbol,asset_class,product_type,venue,price_scale,price_tick,quantity_step,lot_size,commission_rate,stamp_duty_rate,effective_from,effective_to,available_at
000001,equity,stock,SZSE,2,0.01,1,100,0.0003,0.0005,2020-01-01T00:00:00Z,2030-12-31T00:00:00Z,2020-01-01T00:00:00Z
000002,equity,stock,SZSE,2,0.01,1,100,0.0003,0.0005,2020-01-01T00:00:00Z,2030-12-31T00:00:00Z,2020-01-01T00:00:00Z
000003,equity,stock,SZSE,2,0.01,1,100,0.0003,0.0005,2020-01-01T00:00:00Z,2030-12-31T00:00:00Z,2020-01-01T00:00:00Z
000004,equity,stock,SZSE,2,0.01,1,100,0.0003,0.0005,2020-01-01T00:00:00Z,2030-12-31T00:00:00Z,2020-01-01T00:00:00Z
000005,equity,stock,SZSE,2,0.01,1,100,0.0003,0.0005,2020-01-01T00:00:00Z,2030-12-31T00:00:00Z,2020-01-01T00:00:00Z
600000,equity,stock,SSE,2,0.01,1,100,0.0003,0.0005,2020-01-01T00:00:00Z,2030-12-31T00:00:00Z,2020-01-01T00:00:00Z
600519,equity,stock,SSE,2,0.01,1,100,0.0003,0.0005,2020-01-01T00:00:00Z,2030-12-31T00:00:00Z,2020-01-01T00:00:00Z
300750,equity,stock,SZSE,2,0.01,1,100,0.0003,0.0005,2020-01-01T00:00:00Z,2030-12-31T00:00:00Z,2020-01-01T00:00:00Z
510300,etf,etf,SSE,3,0.001,1,100,0.0003,0,2020-01-01T00:00:00Z,2030-12-31T00:00:00Z,2020-01-01T00:00:00Z
159919,etf,etf,SZSE,3,0.001,1,100,0.0003,0,2020-01-01T00:00:00Z,2030-12-31T00:00:00Z,2020-01-01T00:00:00Z
A,equity,fixture-stock,TEST,2,0.01,1,100,0.0003,0.0005,2020-01-01T00:00:00Z,2030-12-31T00:00:00Z,2020-01-01T00:00:00Z
B,equity,fixture-stock,TEST,2,0.01,1,100,0.0003,0.0005,2020-01-01T00:00:00Z,2030-12-31T00:00:00Z,2020-01-01T00:00:00Z
S000,equity,fixture-stock,TEST,2,0.01,1,100,0.0003,0.0005,2020-01-01T00:00:00Z,2030-12-31T00:00:00Z,2020-01-01T00:00:00Z
S001,equity,fixture-stock,TEST,2,0.01,1,100,0.0003,0.0005,2020-01-01T00:00:00Z,2030-12-31T00:00:00Z,2020-01-01T00:00:00Z
S002,equity,fixture-stock,TEST,2,0.01,1,100,0.0003,0.0005,2020-01-01T00:00:00Z,2030-12-31T00:00:00Z,2020-01-01T00:00:00Z
S003,equity,fixture-stock,TEST,2,0.01,1,100,0.0003,0.0005,2020-01-01T00:00:00Z,2030-12-31T00:00:00Z,2020-01-01T00:00:00Z
S004,equity,fixture-stock,TEST,2,0.01,1,100,0.0003,0.0005,2020-01-01T00:00:00Z,2030-12-31T00:00:00Z,2020-01-01T00:00:00Z
S005,equity,fixture-stock,TEST,2,0.01,1,100,0.0003,0.0005,2020-01-01T00:00:00Z,2030-12-31T00:00:00Z,2020-01-01T00:00:00Z
S006,equity,fixture-stock,TEST,2,0.01,1,100,0.0003,0.0005,2020-01-01T00:00:00Z,2030-12-31T00:00:00Z,2020-01-01T00:00:00Z
S007,equity,fixture-stock,TEST,2,0.01,1,100,0.0003,0.0005,2020-01-01T00:00:00Z,2030-12-31T00:00:00Z,2020-01-01T00:00:00Z
S008,equity,fixture-stock,TEST,2,0.01,1,100,0.0003,0.0005,2020-01-01T00:00:00Z,2030-12-31T00:00:00Z,2020-01-01T00:00:00Z
S009,equity,fixture-stock,TEST,2,0.01,1,100,0.0003,0.0005,2020-01-01T00:00:00Z,2030-12-31T00:00:00Z,2020-01-01T00:00:00Z
